Category,Proportion,F1,DR,Enc F1,Enc DR
BENIGN,0.775632576135919,0.9873077107012482,0.9806625402160053,0.983179950296668,0.9771813752396071
DDoS,0.08361810789612865,0.9942559772202858,0.9914426146043434,0.9833499638042691,0.9841972310885699
PortScan,0.05191438915242248,0.8904466194499788,0.9655890238132787,0.8981174341963555,0.9863428481312095
Bot,0.0006320439745413997,0.039702233250620354,0.02072538860103627,0.14207650273224046,0.10103626943005181
Infiltration,1.637419623164248e-05,0.0,0.0,0.0,0.0
Web Attack � Brute Force,0.0004846762084566174,0.0,0.0,0.0,0.0
Web Attack � XSS,0.0002472503630978014,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,6.5496784926569914e-06,0.0,0.0,0.0,0.0
FTP-Patator,0.002693555280105188,0.9957369062119367,0.993920972644377,0.7773749093546047,0.6516717325227963
SSH-Patator,0.0019992893598835466,0.8758741258741258,0.8206388206388207,0.9418282548476454,0.9746109746109746
DoS slowloris,0.0019108687002326774,0.8927238805970149,0.8200514138817481,0.6165494862087615,0.4884318766066838
DoS Slowhttptest,0.0018339099779439577,0.9194432728806411,0.9732142857142857,0.7747747747747746,0.7294642857142857
DoS Hulk,0.0755505414127984,0.9742771052492467,0.9986129172084959,0.9476798008065632,0.9651278716948418
DoS GoldenEye,0.0034582302441228917,0.9719314938154139,0.9673295454545454,0.8396226415094339,0.7585227272727273
Heartbleed,1.6374196231642479e-06,0.6666666666666666,1.0,0.0,0.0
