Category,Proportion,F1,DR,Enc F1,Enc DR
BENIGN,0.7756424006536579,0.9897630538826268,0.9852712065493204,0.9810926838564192,0.9788240608995605
DDoS,0.08408804732797678,0.994297117256356,0.9896600070101648,0.9500135532643287,0.9213303734859991
PortScan,0.052317194379720884,0.9212846347607053,0.9615661481643767,0.8955012798936487,0.9908923038402554
Bot,0.0006123949390634287,0.5513307984790874,0.3877005347593583,0.0,0.0
Infiltration,1.473677660847823e-05,0.0,0.0,0.0,0.0
Web Attack � Brute Force,0.0004846762084566174,0.06535947712418301,0.033783783783783786,0.0,0.0
Web Attack � XSS,0.00020631487251869524,0.0,0.0,0.0,0.0
Web Attack � Sql Injection,6.5496784926569914e-06,0.0,0.0,0.0,0.0
FTP-Patator,0.0025068894430644636,0.9931215198165739,0.9902024820378837,0.7817690227887215,0.6610058785107773
SSH-Patator,0.0019518041908117836,0.9490261085785331,0.9605704697986577,0.8735930735930736,0.8464765100671141
DoS slowloris,0.0019321551553338125,0.9558823529411765,0.9364406779661016,0.8560477001703577,0.8516949152542372
DoS Slowhttptest,0.0017585886752784024,0.9758364312267658,0.9776536312849162,0.7749110320284698,0.8109869646182495
DoS Hulk,0.07516738522097796,0.9693339823495799,0.9977345009366967,0.8952841385468048,0.8955474229948155
DoS GoldenEye,0.003309225058414945,0.9706175298804781,0.9643740722414647,0.803864168618267,0.6793666501731815
Heartbleed,1.6374196231642479e-06,0.0,0.0,1.0,1.0
