Category,Proportion,F1,DR,Enc F1,Enc DR
Ninguno,0.9751819181347411,0.998144749727887,0.9982557305562728,0.9979504400018958,0.9990532748085034
Exploits,0.006112896953623116,0.6738082485270487,0.5757437070938215,0.6386003280481136,0.5345537757437071
Reconnaissance,0.00205348575009582,0.6966551326412919,0.8228882833787466,0.555256064690027,0.4209809264305177
DoS,0.0012085910681762864,0.013761467889908256,0.006944444444444444,0.0,0.0
Generic,0.00839299352900199,0.9602351313969572,0.9256666666666666,0.95800933125972,0.924
Shellcode,0.0002489921413603923,0.02222222222222222,0.011235955056179775,0.0,0.0
 Fuzzers,0.005614912670902331,0.5477467811158799,0.5087194818136522,0.3785310734463277,0.2670652715495765
Worms,3.0774309606340626e-05,0.0,0.0,0.0,0.0
Backdoors,0.0005455445793851293,0.0,0.0,0.0,0.0
Analysis,0.0006098908631074778,0.0,0.0,0.0,0.0
 Reconnaissance ,0.0,0.0,0.0,0.0,0.0
Backdoor,0.0,0.0,0.0,0.0,0.0
 Fuzzers ,0.0,0.0,0.0,0.0,0.0
 Shellcode ,0.0,0.0,0.0,0.0,0.0
