Category,Proportion,F1,DR,Enc F1,Enc DR
Ninguno,0.9750532255672965,0.9983223089850471,0.9990761037977298,0.9981063787328672,0.9985653785679035
Exploits,0.0060709319859781055,0.7274056029232644,0.6880184331797236,0.7008420009905895,0.652073732718894
Reconnaissance,0.0020255091049991465,0.5127238454288406,0.3756906077348066,0.3588621444201313,0.2265193370165746
DoS,0.0014435948869883422,0.007692307692307692,0.003875968992248062,0.0,0.0
Generic,0.008457339812724337,0.958147512864494,0.9239166391002316,0.9568802611235184,0.9212702613298048
Shellcode,0.00023780148332172303,0.0,0.0,0.0,0.0
 Fuzzers,0.0055002084260059704,0.5008226390259954,0.38708036622583925,0.4563636363636363,0.3830111902339776
Worms,3.357197411600796e-05,0.0,0.0,0.0,0.0
Backdoors,0.0005931048760494739,0.0,0.0,0.0,0.0
Analysis,0.0005847118825204719,0.00947867298578199,0.004784688995215311,0.0,0.0
 Reconnaissance ,0.0,0.0,0.0,0.0,0.0
Backdoor,0.0,0.0,0.0,0.0,0.0
 Fuzzers ,0.0,0.0,0.0,0.0,0.0
 Shellcode ,0.0,0.0,0.0,0.0,0.0
