Category,Proportion,F1,DR,Enc F1,Enc DR
Benign,0.9603413833136355,0.9976186422550214,0.9979241814348198,0.9975617096820626,0.9989762489762489
Exploits,0.013222327974814613,0.7667295004712535,0.77218794494542,0.6915694392171623,0.5813953488372093
Generic,0.00688205332022466,0.7998566565131697,0.678419452887538,0.7927007299270071,0.6601823708206687
Fuzzers,0.009287634268023554,0.6308871851040525,0.5837837837837838,0.29421340831730053,0.22387387387387386
Backdoor,0.00092248799824288,0.0,0.0,0.0,0.0
DoS,0.0024390499001160954,0.008481764206955046,0.004288164665523156,0.0,0.0
Reconnaissance,0.005329930656514418,0.4823399558498897,0.34301412872841447,0.43679843826256703,0.3512558869701727
Shellcode,0.0006254510464277123,0.0,0.0,0.0,0.0
Worms,4.392799991632762e-05,0.16666666666666666,0.09523809523809523,0.0,0.0
Analysis,0.000905753522084279,0.0,0.0,0.0,0.0
