Category,Proportion,F1,DR,Enc F1,Enc DR
Benign,0.9603162815993975,0.9975098163366946,0.9982748255221267,0.9976386063849288,0.9984164118113461
Exploits,0.01310309483218458,0.6885181933469905,0.5633780332056194,0.7148609077598829,0.6235632183908046
Generic,0.006896695986863436,0.7991368458910267,0.6739460115256294,0.7888970051132213,0.6551410373066424
Fuzzers,0.00921232912530985,0.6618015963511972,0.6589464123524069,0.5455902740748639,0.5808356039963669
Backdoor,0.0009141207601635795,0.0,0.0,0.0,0.0
DoS,0.0024787942809927728,0.005042016806722689,0.002531645569620253,0.0,0.0
Reconnaissance,0.005447071989624625,0.7420257414661444,0.7638248847926268,0.48688931824454873,0.3387096774193548
Shellcode,0.0005480540941941827,0.0,0.0,0.0,0.0
Worms,7.530514271370449e-05,0.0,0.0,0.0,0.0
Analysis,0.0010082521885557102,0.0,0.0,0.0,0.0
