Category,Proportion,F1,DR,Enc F1,Enc DR
normal,0.5192068141265193,0.9735643246711582,0.9889767864090261,0.9629137396367318,0.9894955258721307
neptune,0.30804969195030807,0.9993441189331002,0.9991256830601093,0.9972713381357782,0.9985792349726776
warezclient,0.006093660573006094,0.6983050847457627,0.569060773480663,0.12807881773399013,0.0718232044198895
ipsweep,0.025451974548025454,0.9622266401590457,0.9603174603174603,0.9657444005270092,0.9695767195767195
portsweep,0.020267313066020268,0.969747899159664,0.9584717607973422,0.9305912596401027,0.9019933554817275
teardrop,0.005925327408005925,0.9723756906077349,1.0,0.9723756906077349,1.0
nmap,0.01073965592701074,0.8325508607198749,0.8338557993730408,0.8363047001620745,0.8087774294670846
satan,0.029155304178029154,0.9204350314825414,0.9284064665127021,0.8826237054085155,0.8856812933025404
smurf,0.02285964380702286,0.9933774834437087,0.9941089837997055,0.9895988112927192,0.9808541973490427
pod,0.001312998687001313,0.9487179487179487,0.9487179487179487,0.6206896551724138,0.46153846153846156
back,0.009022657644009023,0.6976744186046511,0.5597014925373134,0.4124293785310735,0.27238805970149255
guess_passwd,0.009224657442009225,0.9279112754158964,0.916058394160584,0.9105058365758756,0.8540145985401459
ftp_write,3.366663300003367e-05,0.0,0.0,0.0,0.0
multihop,0.000100999899000101,0.0,0.0,0.0,0.0
rootkit,0.00016833316500016834,0.0,0.0,0.0,0.0
buffer_overflow,0.000403999596000404,0.375,0.25,0.0,0.0
imap,0.0,0.0,0.0,0.0,0.0
warezmaster,0.006295660371006296,0.7652173913043478,0.7058823529411765,0.2407407407407407,0.13903743315508021
phf,6.733326600006734e-05,0.0,0.0,0.0,0.0
land,0.000100999899000101,0.5714285714285715,0.6666666666666666,0.5714285714285715,0.6666666666666666
loadmodule,6.733326600006734e-05,0.0,0.0,0.0,0.0
spy,0.0,0.0,0.0,0.0,0.0
perl,3.366663300003367e-05,0.0,0.0,0.0,0.0
saint,0.0025586641080025587,0.0,0.0,0.0,0.0
mscan,0.00605999394000606,0.8988095238095238,0.8388888888888889,0.846590909090909,0.8277777777777777
apache2,0.005083661583005084,0.9933774834437086,0.9933774834437086,0.9273356401384083,0.8874172185430463
snmpgetattack,0.001312998687001313,0.0,0.0,0.0,0.0
processtable,0.004208329125004209,0.9960159362549801,1.0,0.9551020408163265,0.936
httptunnel,0.0010436656230010436,0.608695652173913,0.45161290322580644,0.1176470588235294,0.06451612903225806
ps,0.000100999899000101,0.0,0.0,0.0,0.0
snmpguess,0.002625997374002626,0.0,0.0,0.0,0.0
mailbomb,0.002120997879002121,0.6262626262626263,0.49206349206349204,0.0,0.0
named,6.733326600006734e-05,0.0,0.0,0.0,0.0
sendmail,3.366663300003367e-05,0.0,0.0,0.0,0.0
xterm,0.00013466653200013467,0.0,0.0,0.0,0.0
worm,0.0,0.0,0.0,0.0,0.0
xlock,6.733326600006734e-05,0.0,0.0,0.0,0.0
xsnoop,0.0,0.0,0.0,0.0,0.0
sqlattack,0.0,0.0,0.0,0.0,0.0
udpstorm,0.0,0.0,0.0,0.0,0.0
