Category,Proportion,F1,DR,Enc F1,Enc DR
normal,0.5187354812645187,0.9797578692493947,0.9891614745586709,0.9681802159771845,0.9860462097611631
neptune,0.3092616907383093,0.9989663239214406,0.999455693446549,0.9985304522941272,0.9985848029610277
warezclient,0.005487661179005488,0.7777777777777778,0.7300613496932515,0.7267080745341614,0.7177914110429447
ipsweep,0.02454297545702454,0.9707681849082257,0.9794238683127572,0.9491997216423104,0.9355281207133059
portsweep,0.021277312056021278,0.9654618473895582,0.9509493670886076,0.965682362330407,0.9572784810126582
teardrop,0.006800659866006801,0.9803921568627452,0.9900990099009901,0.9754901960784313,0.9851485148514851
nmap,0.010571322762010572,0.8803986710963456,0.8439490445859873,0.8779661016949153,0.8248407643312102
satan,0.02966030367302966,0.8959276018099547,0.8989784335981839,0.8765714285714286,0.8706015891032917
smurf,0.021916978083021916,0.9899923017705927,0.9877112135176651,0.9836065573770492,0.967741935483871
pod,0.001817998182001818,0.9454545454545454,0.9629629629629629,0.6734693877551021,0.6111111111111112
back,0.008214658452008215,0.9297520661157024,0.9221311475409836,0.4542772861356933,0.3155737704918033
guess_passwd,0.008988991011008989,0.9333333333333333,0.9176029962546817,0.9132075471698113,0.9063670411985019
ftp_write,6.733326600006734e-05,0.0,0.0,0.0,0.0
multihop,0.00013466653200013467,0.0,0.0,0.0,0.0
rootkit,0.00016833316500016834,0.0,0.0,0.0,0.0
buffer_overflow,0.000302999697000303,0.16666666666666666,0.1111111111111111,0.0,0.0
imap,6.733326600006734e-05,0.0,0.0,1.0,1.0
warezmaster,0.006026327307006026,0.8111455108359134,0.7318435754189944,0.7459807073954984,0.6480446927374302
phf,0.0,0.0,0.0,0.0,0.0
land,0.00016833316500016834,0.9090909090909091,1.0,0.33333333333333337,0.2
loadmodule,0.0,0.0,0.0,0.0,0.0
spy,0.0,0.0,0.0,0.0,0.0
perl,3.366663300003367e-05,0.0,0.0,0.0,0.0
saint,0.0024913308420024915,0.0,0.0,0.0,0.0
mscan,0.006329327004006329,0.9213483146067415,0.8723404255319149,0.8847184986595175,0.8776595744680851
apache2,0.005386661280005387,0.9906542056074766,0.99375,0.9652996845425867,0.95625
snmpgetattack,0.0013466653200013467,0.0,0.0,0.0,0.0
processtable,0.0045113288220045115,0.981549815498155,0.9925373134328358,0.8487394957983193,0.753731343283582
httptunnel,0.000908999091000909,0.5,0.3333333333333333,0.19999999999999998,0.1111111111111111
ps,3.366663300003367e-05,0.0,0.0,0.0,0.0
snmpguess,0.0025923307410025925,0.0,0.0,0.0,0.0
mailbomb,0.001817998182001818,0.7254901960784315,0.6851851851851852,0.7592592592592593,0.7592592592592593
named,6.733326600006734e-05,0.0,0.0,0.0,0.0
sendmail,6.733326600006734e-05,0.0,0.0,0.0,0.0
xterm,0.00013466653200013467,0.0,0.0,0.0,0.0
worm,3.366663300003367e-05,0.0,0.0,0.0,0.0
xlock,3.366663300003367e-05,0.0,0.0,0.0,0.0
xsnoop,0.0,0.0,0.0,0.0,0.0
sqlattack,0.0,0.0,0.0,0.0,0.0
udpstorm,0.0,0.0,0.0,0.0,0.0
