IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
59.166.0.5,1305,149.171.126.8,21,6,1.0,9,1,193,3,24,24,16,0,0,0,31,32,89,52,52,89,456.0,435.0,0,0,0,0,3648000,3480000,15,0,0,0,0,0,7240,0,0,0,0,0,331.0,0,Benign
59.166.0.5,1305,149.171.126.8,21,6,1.0,261,5,469,7,24,24,24,0,0,0,31,32,89,52,52,89,708.0,711.0,74,1,89,1,4656000,4584000,23,0,0,0,0,8688,8688,18944,74,0,0,0,230.0,0,Benign
59.166.0.5,1305,149.171.126.8,21,6,1.0,481,9,750,11,24,24,24,0,0,0,31,32,94,52,52,94,928.0,992.0,132,2,172,2,5576000,5696000,31,0,0,0,0,10136,10136,33792,132,0,0,0,229.0,0,Benign
59.166.0.5,1305,149.171.126.8,21,6,1.0,701,13,1054,15,24,24,24,0,0,0,31,32,106,52,52,106,1148.0,1296.0,190,3,266,3,6480000,6864000,39,0,0,0,0,11584,11584,48640,190,0,0,0,125.0,0,Benign
59.166.0.5,1305,149.171.126.8,21,6,1.0,1031,19,1474,21,24,24,24,0,0,0,31,32,106,52,52,106,1478.0,1716.0,251,4,437,5,7544000,8240000,51,0,0,0,0,14480,13032,64256,251,0,0,0,230.0,0,Benign
59.166.0.5,1305,149.171.126.8,21,6,1.0,1251,23,1751,25,24,24,24,0,0,0,31,32,106,52,52,106,1698.0,1993.0,309,5,517,6,8552000,9520000,59,0,0,0,0,15928,14480,13568,53,0,0,0,229.0,0,Benign
59.166.0.5,1305,149.171.126.8,21,6,1.0,1493,27,2054,29,24,24,24,0,0,0,31,32,106,52,52,106,1940.0,2296.0,378,6,610,7,9544000,10784000,67,0,0,0,0,17376,15928,31232,122,0,0,0,125.0,0,Benign
175.45.176.1,42208,149.171.126.14,21,6,1.0,309,7,556,7,24,24,16,4294952,0,15,62,63,116,47,47,116,604.0,884.0,150,3,232,3,3656000,1120000,23,0,0,0,0,16383,16383,38400,150,0,0,0,227.0,0,Benign
59.166.0.5,1305,149.171.126.8,21,6,1.0,1817,33,2510,35,24,24,24,4294952,15,15,31,32,106,52,52,106,2264.0,2752.0,436,7,792,9,3688000,4240000,79,0,0,0,0,20272,17376,46080,180,0,0,0,229.0,0,Benign
59.166.0.5,1305,149.171.126.8,21,6,1.0,2059,37,2814,39,24,24,24,4294952,15,15,31,32,106,52,52,106,2506.0,3056.0,505,8,886,10,2688000,3120000,87,0,0,0,0,21720,18824,63744,249,0,0,0,125.0,0,Benign
